Code INSEE;Commune;geo_point_2d;Code Postal;Code Département;Région
63402;SAINT-VICTOR-MONTVIANEIX;45.9381159052,3.61132640921;63550;63;AUVERGNE
26027;BARSAC;44.7264116116,5.30407617795;26150;26;RHONE-ALPES
42205;SAINT-BONNET-LE-COURREAU;45.655161946,3.9261116009;42940;42;RHONE-ALPES
69063;COLLONGES-AU-MONT-D'OR;45.8220411914,4.8419319446;69660;69;RHONE-ALPES
61502;VIDAI;48.4602912292,0.376581458211;61360;61;BASSE-NORMANDIE
68308;SICKERT;47.7919119213,6.98580589371;68290;68;ALSACE
27396;MENESQUEVILLE;49.3574004646,1.40684415026;27850;27;HAUTE-NORMANDIE
54013;AMENONCOURT;48.6300704003,6.78443520767;54450;54;LORRAINE
41192;LES ROCHES-L'EVEQUE;47.7861085409,0.88757317848;41800;41;CENTRE
58187;MYENNES;47.4543629223,2.94370342447;58440;58;BOURGOGNE
28052;BOUGLAINVAL;48.5606379303,1.51011696561;28130;28;CENTRE
51558;SOULIERES;48.9038402772,3.93440126624;51130;51;CHAMPAGNE-ARDENNE
65131;CASTELVIEILH;43.281097408,0.201372876533;65350;65;MIDI-PYRENEES
72062;LA CHAPELLE-DU-BOIS;48.2270021313,0.583491271516;72400;72;PAYS DE LA LOIRE
17109;CLAVETTE;46.1423813762,-1.03660142128;17220;17;POITOU-CHARENTES
79356;VOULTEGON;46.9119628011,-0.52429679005;79150;79;POITOU-CHARENTES
28286;OLLE;48.3861713176,1.29676910004;28120;28;CENTRE
22391;YVIGNAC-LA-TOUR;48.3488527307,-2.17094067762;22350;22;BRETAGNE
15266;YOLET;44.9307481726,2.5382689478;15130;15;AUVERGNE
27205;DOUVILLE-SUR-ANDELLE;49.3329198858,1.30756774405;27380;27;HAUTE-NORMANDIE
11057;CAHUZAC;43.1910457149,1.8547719586;11420;11;LANGUEDOC-ROUSSILLON
21247;EPOISSES;47.5033289277,4.17120505436;21460;21;BOURGOGNE
64233;GARLIN;43.5599586619,-0.272296457605;64330;64;AQUITAINE
15136;MOURJOU;44.6974161055,2.31659060855;15340;15;AUVERGNE
52065;BOUZANCOURT;48.3161828914,4.95023725164;52110;52;CHAMPAGNE-ARDENNE
33376;SAINT-AUBIN-DE-MEDOC;44.9333497941,-0.748518197327;33160;33;AQUITAINE
21467;OISILLY;47.416992177,5.36192344642;21310;21;BOURGOGNE
91645;VERRIERES-LE-BUISSON;48.75044312,2.25171297214;91370;91;ILE-DE-FRANCE
35232;PRINCE;48.2370987257,-1.10577928863;35210;35;BRETAGNE
77133;COURCELLES-EN-BASSEE;48.4125606521,3.05294050556;77126;77;ILE-DE-FRANCE
8154;ESTREBAY;49.8253440088,4.34568774297;8260;8;CHAMPAGNE-ARDENNE
14668;SAONNET;49.2721933862,-0.880981294808;14330;14;BASSE-NORMANDIE
39237;FRAROZ;46.7287692147,6.09880430783;39250;39;FRANCHE-COMTE
60494;PLAILLY;49.1113621574,2.57767746026;60128;60;PICARDIE
38553;VILLEFONTAINE;45.6136289454,5.15547673355;38090;38;RHONE-ALPES
18224;SAINT-MARTIN-DES-CHAMPS;47.173174971,2.93500889323;18140;18;CENTRE
50219;GRATOT;49.0683104391,-1.49454774157;50200;50;BASSE-NORMANDIE
60410;MONDESCOURT;49.6007632459,3.10933333116;60400;60;PICARDIE
60348;LARBROYE;49.5711545725,2.96064290936;60400;60;PICARDIE
34294;SATURARGUES;43.7142810482,4.11714344824;34400;34;LANGUEDOC-ROUSSILLON
4233;VAUMEILH;44.2903076957,5.95653121817;4200;4;PROVENCE-ALPES-COTE D'AZUR
50029;BARENTON;48.6083533868,-0.830642245682;50720;50;BASSE-NORMANDIE
14689;THURY-HARCOURT;48.9864514562,-0.485109067102;14220;14;BASSE-NORMANDIE
43047;CHADRON;44.9500949064,3.93743261861;43150;43;AUVERGNE
91378;MAUCHAMPS;48.5272680908,2.19718165044;91730;91;ILE-DE-FRANCE
54446;RECHICOURT-LA-PETITE;48.717997142,6.58235675457;54370;54;LORRAINE
32209;LELIN-LAPUJOLLE;43.7070511405,-0.134532428412;32400;32;MIDI-PYRENEES
41039;LA CHAPELLE-SAINT-MARTIN-EN-PLAINE;47.7330590404,1.41192253742;41500;41;CENTRE
22284;SAINT-CONNAN;48.412323087,-3.07608940512;22480;22;BRETAGNE
52468;SEMILLY;48.2505992806,5.46434760219;52700;52;CHAMPAGNE-ARDENNE
24159;ECHOURGNAC;45.1290868682,0.223067920753;24410;24;AQUITAINE
8386;SAINT-LOUP-EN-CHAMPAGNE;49.4528238096,4.21534946763;8300;8;CHAMPAGNE-ARDENNE
57749;VOELFLING-LES-BOUZONVILLE;49.2929378044,6.60527377943;57320;57;LORRAINE
80161;CAHON;50.1196980622,1.7290169639;80132;80;PICARDIE
45253;PITHIVIERS-LE-VIEIL;48.1732947804,2.20648380316;45300;45;CENTRE
31069;BLAGNAC;43.6421867862,1.37886941086;31700;31;MIDI-PYRENEES
1007;AMBRONAY;46.0055913782,5.35760660735;1500;1;RHONE-ALPES
18172;ORVAL;46.7220226061,2.46720008987;18200;18;CENTRE
